_id,Index_,Event_Unique_ID,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,Lat,Long,ObjectId,geometry,Longitude,Latitude
192,891,GO-20171778161,2017,D51,Shooting,2017-10-01T04:00:00,70,South Riverdale (70),,-79.3506165,192,"{u'type': u'Point', u'coordinates': (-79.3506165, 43.6430931)}",-79.3506165,43.6430931
193,892,GO-20171778161,2017,D51,Shooting,2017-10-01T04:00:00,70,South Riverdale (70),,-79.3506165,193,"{u'type': u'Point', u'coordinates': (-79.3506165, 43.6430931)}",-79.3506165,43.6430931
194,893,GO-20171807017,2017,D23,Shooting,2017-10-05T04:00:00,6,Kingsview Village-The Westway (6),,-79.5484695,194,"{u'type': u'Point', u'coordinates': (-79.5484695, 43.6944733)}",-79.5484695,43.6944733
195,894,GO-20171798506,2017,D23,Other,2017-10-04T04:00:00,4,Rexdale-Kipling (4),,-79.5702362,195,"{u'type': u'Point', u'coordinates': (-79.5702362, 43.7265511)}",-79.5702362,43.7265511
196,895,GO-20171821632,2017,D54,Stabbing,2017-10-07T04:00:00,60,Woodbine-Lumsden (60),,-79.3159485,196,"{u'type': u'Point', u'coordinates': (-79.3159485, 43.6975288)}",-79.3159485,43.6975288
197,896,GO-20171828016,2017,D23,Shooting,2017-10-08T04:00:00,6,Kingsview Village-The Westway (6),,-79.5522308,197,"{u'type': u'Point', u'coordinates': (-79.5522308, 43.6987343)}",-79.5522308,43.6987343
198,897,GO-20171864268,2017,D31,Shooting,2017-10-14T04:00:00,21,Humber Summit (21),,-79.5529861,198,"{u'type': u'Point', u'coordinates': (-79.5529861, 43.751442)}",-79.5529861,43.751442
199,898,GO-20171897265,2017,D53,Stabbing,2017-10-20T04:00:00,55,Thorncliffe Park (55),,-79.3436279,199,"{u'type': u'Point', u'coordinates': (-79.3436279, 43.7074776)}",-79.3436279,43.7074776
200,899,GO-20171856631,2017,D14,Other,2017-10-13T04:00:00,93,Dovercourt-Wallace Emerson-Junction (93),,-79.4254379,200,"{u'type': u'Point', u'coordinates': (-79.4254379, 43.6677628)}",-79.4254379,43.6677628
201,900,GO-20171954551,2017,D54,Stabbing,2017-10-28T04:00:00,43,Victoria Village (43),,-79.3049393,201,"{u'type': u'Point', u'coordinates': (-79.3049393, 43.7159882)}",-79.3049393,43.7159882
